Phase 1/4: objective-conflict anchor runs
Running 3 case(s) with 16 worker(s)...
[progress] OPMWADE P21 repeat=3/8 | W2:conflict_single_objective | nfes=2460/6400 (38.4%) | best=0.03942959623 | fearate=1 | iter=16 | np=104 | elapsed=1799.3s
[progress] OPMWADE P21 repeat=3/8 | W1:conflict_single_objective | nfes=3224/6400 (50.4%) | best=7.87261185e-05 | fearate=1 | iter=24 | np=86 | elapsed=2356.5s
[progress] OPMWADE P21 repeat=3/8 | W2:conflict_single_objective | nfes=3224/6400 (50.4%) | best=0.03698942492 | fearate=1 | iter=24 | np=86 | elapsed=2360.5s
[progress] OPMWADE P21 repeat=3/8 | W3:conflict_single_objective | nfes=3240/6400 (50.6%) | best=7.006320996e-05 | fearate=1 | iter=24 | np=85 | elapsed=2369.1s
[progress] OPMWADE P21 repeat=3/8 | W1:conflict_single_objective | nfes=4026/6400 (62.9%) | best=7.192649967e-05 | fearate=1 | iter=35 | np=71 | elapsed=2944.7s
[progress] OPMWADE P21 repeat=3/8 | W2:conflict_single_objective | nfes=4011/6400 (62.7%) | best=0.03558673146 | fearate=1 | iter=34 | np=71 | elapsed=2938.0s
[progress] OPMWADE P21 repeat=3/8 | W3:conflict_single_objective | nfes=4022/6400 (62.8%) | best=5.729212302e-05 | fearate=1 | iter=34 | np=71 | elapsed=2943.0s
[progress] OPMWADE P21 repeat=3/8 | W2:conflict_single_objective | nfes=4807/6400 (75.1%) | best=0.03275606916 | fearate=1 | iter=46 | np=62 | elapsed=3521.6s
[progress] OPMWADE P21 repeat=3/8 | W3:conflict_single_objective | nfes=4801/6400 (75.0%) | best=5.313531843e-05 | fearate=1 | iter=47 | np=62 | elapsed=3513.5s
[progress] OPMWADE P21 repeat=3/8 | W1:conflict_single_objective | nfes=4843/6400 (75.7%) | best=6.706604231e-05 | fearate=1 | iter=48 | np=55 | elapsed=3543.8s
[progress] OPMWADE P21 repeat=3/8 | W1:conflict_single_objective | nfes=5642/6400 (88.2%) | best=6.060627193e-05 | fearate=1 | iter=62 | np=56 | elapsed=4128.1s
[progress] OPMWADE P21 repeat=3/8 | W3:conflict_single_objective | nfes=5625/6400 (87.9%) | best=3.363930448e-05 | fearate=1 | iter=61 | np=56 | elapsed=4116.5s
[progress] OPMWADE P21 repeat=3/8 | W2:conflict_single_objective | nfes=5654/6400 (88.3%) | best=0.02983627765 | fearate=1 | iter=60 | np=57 | elapsed=4141.7s
[progress] OPMWADE P21 repeat=3/8 | W1:conflict_single_objective | nfes=6417/6400 (100.0%) | best=5.769878463e-05 | fearate=1 | iter=76 | np=55 | elapsed=4699.4s
[progress] OPMWADE P21 repeat=3/8 | W2:conflict_single_objective | nfes=6430/6400 (100.0%) | best=0.02914189247 | fearate=1 | iter=74 | np=55 | elapsed=4714.5s
[progress] OPMWADE P21 repeat=3/8 | W3:conflict_single_objective | nfes=6430/6400 (100.0%) | best=3.363930448e-05 | fearate=1 | iter=75 | np=55 | elapsed=4709.5s
[progress] OPMWADE P21 repeat=4/8 | W1:conflict_single_objective | nfes=910/6400 (14.2%) | best=0.0001406075665 | fearate=1 | iter=4 | np=157 | elapsed=671.5s
[progress] OPMWADE P21 repeat=4/8 | W2:conflict_single_objective | nfes=910/6400 (14.2%) | best=0.06737368352 | fearate=1 | iter=4 | np=157 | elapsed=671.6s
[progress] OPMWADE P21 repeat=4/8 | W3:conflict_single_objective | nfes=920/6400 (14.4%) | best=0.0001044560847 | fearate=1 | iter=4 | np=157 | elapsed=678.5s
[progress] OPMWADE P21 repeat=4/8 | W1:conflict_single_objective | nfes=1636/6400 (25.6%) | best=0.0001404200984 | fearate=1 | iter=9 | np=130 | elapsed=1204.7s
